Categoria;HTO;Precursor_PT;Precursor_EN;WeakSignal;Report;Text
Organizacional;sem inspeção/preventive maintenance issue;manutenção preventiva;preventive maintenance issue;procedural compliance variable (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"Review and application of a management system to ensure a strict compliance with standard 
procedures, including reviewing the definition of responsibilities with respect to maintenance, 
operation and safety."
Organizacional;sem inspeção/no inspection;sem inspeção;no inspection;poor lighting near equipment (0.68);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;The inspection was hampered by a lack of lighting in the area.
Organizacional;procedimento desatualizado/no inspection;sem inspeção;no inspection;visual inspection skipped (0.60);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;The inspection was hampered by a lack of lighting in the area.
Organizacional;procedimento ausente/outdated procedure;procedimento desatualizado;outdated procedure;procedure not fully followed (0.57);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"This procedure could only have been performed after previously emptying the 
tank, also followed by isolation of the."
Organizacional;falha na análise de risco/missing procedure;procedimento ausente;missing procedure;procedure not fully followed (0.57);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"This procedure could only have been performed after previously emptying the 
tank, also followed by isolation of the."
Organizacional;sem inspeção/failure in risk assessment;falha na análise de risco;failure in risk assessment;recurrent alarm acknowledged without investigation (0.59);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The analysis performed lead to the identification of a non-conformity with the standard 
emergency response procedures, particularly with respect to:"
Organizacional;sem inspeção/no inspection;sem inspeção;no inspection;routine inspections delayed (0.58);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"This inspection was 
programmed to take place on the following day."
Organizacional;manutenção preventiva/no inspection;sem inspeção;no inspection;safety checks performed superficially (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"This inspection was 
programmed to take place on the following day."
Organizacional;ruptura de tubulação/preventive maintenance issue;manutenção preventiva;preventive maintenance issue;unauthorized modification of settings (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"Implement rules and procedures for compatibilizing original systems and projects alterations to 
ensure operational safety and environmental protection."
Tecnico;falha hidráulica/pipe rupture;ruptura de tubulação;pipe rupture;recurring manual reset of safety valve (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The intake valve of this 
tank was presumably damaged or partially open."
Tecnico;falha hidráulica/hydraulic failure;falha hidráulica;hydraulic failure;recurring manual reset of safety valve (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The intake valve of this 
tank was presumably damaged or partially open."
Tecnico;vazamento de gás/hydraulic failure;falha hidráulica;hydraulic failure;pressure drop in critical line (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"At 12:22 a.m. on March 15, upon reaching a pressure of around 10 bar, described by the 
Petrobras technical team as the failure pressure, the tank ruptured, releasing water, oil and gas 
to the inside of the column."
Tecnico;falha de alarme/gas leak;vazamento de gás;gas leak;pressure drop in critical line (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"At 12:22 a.m. on March 15, upon reaching a pressure of around 10 bar, described by the 
Petrobras technical team as the failure pressure, the tank ruptured, releasing water, oil and gas 
to the inside of the column."
Tecnico;equipamento mal calibrado/alarm failure;falha de alarme;alarm failure;multiple alarms triggered (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"It should be mentioned that the column ventilation system was automatically interrupted due to 
the gas alarm on the main deck."
Tecnico;equipamento mal calibrado/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;quebra de equipamento/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;conflicting operational instructions (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;quebra de equipamento/equipment breakdown;quebra de equipamento;equipment breakdown;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;falha técnica/equipment breakdown;quebra de equipamento;equipment breakdown;conflicting operational instructions (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;falha técnica/tecnical fault;falha técnica;tecnical fault;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;falha hidráulica/tecnical fault;falha técnica;tecnical fault;conflicting operational instructions (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operations carried out in disagreement with the platform Manuals and critically 
related with the accident were the following:"
Tecnico;quebra de equipamento/hydraulic failure;falha hidráulica;hydraulic failure;equipment not fully isolated (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The fact that the ballast tank and stability box mentioned above had been left open 
characterized a critical non conformity related to standard operating procedures in areas 
requiring water tightness and integrity, contrary to the Operating Manual (MA-3010.38-1320-
915-NBD-909-01) - Stability in the Case of Damage item, constituting a major cause for the 
sinking."
Tecnico;vazamento de gás/equipment breakdown;quebra de equipamento;equipment breakdown;equipment not fully isolated (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The fact that the ballast tank and stability box mentioned above had been left open 
characterized a critical non conformity related to standard operating procedures in areas 
requiring water tightness and integrity, contrary to the Operating Manual (MA-3010.38-1320-
915-NBD-909-01) - Stability in the Case of Damage item, constituting a major cause for the 
sinking."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;gas detector offline during activity (0.59);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The release of gas was confirmed seconds after the 
""first explosion"" by the detection of gas in two of the ventilation air intakes, one for the aft 
starboard column and the other for the internal area of the tank top deck, and by other sensors 
located on the main deck."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;gas detector offline during activity (0.58);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The gas released from the tank reached the internal area of the tank top deck and the main 
deck through the column ventilation system and the ruptured tank vent lines located below the 
fourth level, activating the gas sensors."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.57);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;F, the gas released after the rupture was not immediately detected in the tank
Tecnico;equipamento mal calibrado/gas leak;vazamento de gás;gas leak;gas smell dismissed as residual (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;F, the gas released after the rupture was not immediately detected in the tank
Tecnico;equipamento mal calibrado/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;safety checks performed superficially (0.54);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The investigation performed on the accident with the platform P-36 led to the identification of 
non conformities with respect to standard operational, maintenance and engineering design 
procedures."
Tecnico;falha de vedação/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The investigation performed on the accident with the platform P-36 led to the identification of 
non conformities with respect to standard operational, maintenance and engineering design 
procedures."
Tecnico;falha de vedação/seal failure;falha de vedação;seal failure;poor lighting near equipment (0.68);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;The inspection was hampered by a lack of lighting in the area.
Tecnico;ruptura de tubulação/seal failure;falha de vedação;seal failure;visual inspection skipped (0.60);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;The inspection was hampered by a lack of lighting in the area.
Tecnico;falha hidráulica/pipe rupture;ruptura de tubulação;pipe rupture;small leak normalized (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The collapse of the tank structure caused the transfer of the fluids inside it to the fourth level 
compartment, in addition to the rupture of the 18-inch saltwater pipe passing alongside it, 
beginning the flooding of the column."
Tecnico;detector coberto/hydraulic failure;falha hidráulica;hydraulic failure;small leak normalized (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The collapse of the tank structure caused the transfer of the fluids inside it to the fourth level 
compartment, in addition to the rupture of the 18-inch saltwater pipe passing alongside it, 
beginning the flooding of the column."
Humano;detector coberto/covered detector;detector coberto;covered detector;sensor drift unnoticed (0.54);anp-final-report-fpso-cdsm-accident.pdf;"Stationary equipment with electrical circuits in pump house were: three fixed detectors, 
two CCTV cameras (4 and 5) audible and visual alarm signal, landline and fixtures normal 
fluorescent lamps and emergency."
Humano;descumprimento de procedimento/covered detector;detector coberto;covered detector;poor lighting near equipment (0.53);anp-final-report-fpso-cdsm-accident.pdf;"Stationary equipment with electrical circuits in pump house were: three fixed detectors, 
two CCTV cameras (4 and 5) audible and visual alarm signal, landline and fixtures normal 
fluorescent lamps and emergency."
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;conflicting operational instructions (0.66);anp-final-report-fpso-cdsm-accident.pdf;"CR14: Some operating 
procedure and lack of 
clear 
instructions 
/ 
[15.2.1] 
incomplete 
Procedure 
15.2.1 
R25: The operational procedures should set clear instructions and prohibitions to 
be observed by all who use them as a criterion for control of operational risks."
Humano;falha operacional/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.52);anp-final-report-fpso-cdsm-accident.pdf;"CR14: Some operating 
procedure and lack of 
clear 
instructions 
/ 
[15.2.1] 
incomplete 
Procedure 
15.2.1 
R25: The operational procedures should set clear instructions and prohibitions to 
be observed by all who use them as a criterion for control of operational risks."
Humano;não seguiu o procedimento/operational failure;falha operacional;operational failure;conflicting operational instructions (0.62);anp-final-report-fpso-cdsm-accident.pdf;"In this sense, it can be seen that the installation of the operator did not have complete and clear 
operating procedure with regard to the prohibitions and restrictions for the use of systems and 
equipment in order to maintain control of risks."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;conflicting operational instructions (0.57);anp-final-report-fpso-cdsm-accident.pdf;"However, there was no operational procedure to indicate the parameters and procedures to 
be followed by the marine169 operator and by pumping in maneuvering change collectors and 
how to operate the stripping pump."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.55);anp-final-report-fpso-cdsm-accident.pdf;"However, there was no operational procedure to indicate the parameters and procedures to 
be followed by the marine169 operator and by pumping in maneuvering change collectors and 
how to operate the stripping pump."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.64);anp-final-report-fpso-cdsm-accident.pdf;"7.5.3 Root Cause n° 14: Incomplete operating procedure and lack of proper 
instructions / [15.2.1] Incomplete procedure]"
Humano;falha operacional/did not follow procedure;não seguiu o procedimento;did not follow procedure;conflicting operational instructions (0.55);anp-final-report-fpso-cdsm-accident.pdf;"7.5.3 Root Cause n° 14: Incomplete operating procedure and lack of proper 
instructions / [15.2.1] Incomplete procedure]"
Humano;falha operacional/operational failure;falha operacional;operational failure;conflicting operational instructions (0.54);anp-final-report-fpso-cdsm-accident.pdf;"In this sense, it can be seen that BW did not provide the resources needed for the implementation 
and operation of operational safety management system, as well as the Concession Operator failed to 
not evaluate the Setup Operator's performance."
Humano;falha operacional/operational failure;falha operacional;operational failure;operator not certified for task (0.51);anp-final-report-fpso-cdsm-accident.pdf;"In this sense, it can be seen that BW did not provide the resources needed for the implementation 
and operation of operational safety management system, as well as the Concession Operator failed to 
not evaluate the Setup Operator's performance."
Humano;falha operacional/operational failure;falha operacional;operational failure;conflicting operational instructions (0.52);anp-final-report-fpso-cdsm-accident.pdf;"Operational issues upon load handling system ....................................................................... 202 
6.1."
Humano;não seguiu o procedimento/operational failure;falha operacional;operational failure;conflicting operational instructions (0.51);anp-final-report-fpso-cdsm-accident.pdf;"In this sense, it can be seen that the installation operator did not provide resources for the 
development, implementation and updating procedures of operational safety management 
system of the FPSO Cidade de São Mateus, in order to properly manage operational risks."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.61);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 22: Lack of proper instructions upon emergency procedure / [15.2.1] 
Incomplete / inadequate procedure .......................................................................................... 313 
11.3.2."
Humano;descumprimento de procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;conflicting operational instructions (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 22: Lack of proper instructions upon emergency procedure / [15.2.1] 
Incomplete / inadequate procedure .......................................................................................... 313 
11.3.2."
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.61);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 22: Lack of proper instructions upon emergency procedure / [15.2.1] 
Incomplete / inadequate procedure .......................................................................................... 313 
11.3.2."
Humano;decisão inadequada/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;conflicting operational instructions (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 22: Lack of proper instructions upon emergency procedure / [15.2.1] 
Incomplete / inadequate procedure .......................................................................................... 313 
11.3.2."
Humano;falta de concentração/inadequate decision;decisão inadequada;inadequate decision;conflicting operational instructions (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The lack of this information in the Emergency Response Plan sets is therefore 
a lack of clear and specific instructions for carrying out the activities safely at odds with 
paragraph 15.2.1 of SGSO."
Humano;detector coberto/lack of concentration;falta de concentração;lack of concentration;degraded sensor performance (0.55);anp-final-report-fpso-cdsm-accident.pdf;"It was observed that over the years some indicators showed performance fall short of the 
target set, however it was not possible to identify specific corrective action for poor 
performance."
Humano;detector coberto/covered detector;detector coberto;covered detector;degraded sensor performance (0.54);anp-final-report-fpso-cdsm-accident.pdf;"11:35:37 
73AB370 detector has its extrapolated detection limit (100% of LIE)113."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.63);anp-final-report-fpso-cdsm-accident.pdf;"Portable equipment present in the pump house at the time 
of the explosion were portable gas detectors and communicators radios."
Humano;detector coberto/covered detector;detector coberto;covered detector;equipment not fully isolated (0.54);anp-final-report-fpso-cdsm-accident.pdf;"Portable equipment present in the pump house at the time 
of the explosion were portable gas detectors and communicators radios."
Humano;detector coberto/covered detector;detector coberto;covered detector;equipment not fully isolated (0.51);anp-final-report-fpso-cdsm-accident.pdf;brigade team clothing and portable detectors.
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.74);anp-final-report-fpso-cdsm-accident.pdf;"23:22 
Use of portable gas detector with hose to monitor the engine room environment."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.73);anp-final-report-fpso-cdsm-accident.pdf;"The same sensor detects the presence of gas at very high level3 
14 seconds after the first detection."
Humano;detector coberto/covered detector;detector coberto;covered detector;sensor drift unnoticed (0.52);anp-final-report-fpso-cdsm-accident.pdf;"The same sensor detects the presence of gas at very high level3 
14 seconds after the first detection."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.72);anp-final-report-fpso-cdsm-accident.pdf;"Data accrual from gas detectors .................................................................................... 17 
1.2.2."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.71);anp-final-report-fpso-cdsm-accident.pdf;"The portable 
gas detector data used for monitoring the distance tube after the explosion were also analyzed."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.70);anp-final-report-fpso-cdsm-accident.pdf;"12:01:41 
The 73AB326 gas detector indicates very high level of gas."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.69);anp-final-report-fpso-cdsm-accident.pdf;"Subsequently, two different gas detectors indicate the 
presence of gas to 11h36m44s, featuring a confirmed detection of gas pumps room4."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas smell dismissed as residual (0.50);anp-final-report-fpso-cdsm-accident.pdf;"Subsequently, two different gas detectors indicate the 
presence of gas to 11h36m44s, featuring a confirmed detection of gas pumps room4."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.69);anp-final-report-fpso-cdsm-accident.pdf;"11:36:44 
All three gas detectors located in the pump house background (73AB326, 73AB327 
and 73AB370) indicate the presence of gas."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.67);anp-final-report-fpso-cdsm-accident.pdf;"According to data from the supervisory system of the facility2, the first gas sensor at high 
level3 was around 11h31m42s."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.67);anp-final-report-fpso-cdsm-accident.pdf;"12:11:51 
The portable gas detector measures 100% LEL."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.67);anp-final-report-fpso-cdsm-accident.pdf;"11:38:12 
All three gas detectors pump house have their limits extrapolated detection."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.67);anp-final-report-fpso-cdsm-accident.pdf;"12:28:21 
The portable gas detector measures 100% LEL."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.66);anp-final-report-fpso-cdsm-accident.pdf;"People then did the measurement of gases in the engine room with remote monitoring by 
the portable detector with running hose."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.64);anp-final-report-fpso-cdsm-accident.pdf;"12:00:42 
The 73AB326 gas detector is removed from inhibition."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.63);anp-final-report-fpso-cdsm-accident.pdf;"There were three gas detectors (tags 73AB326, 73AB327 and 73AB370) located on the lower 
floor of the pumps room."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.61);anp-final-report-fpso-cdsm-accident.pdf;"11:44:19 
The 73AB327 gas detector is inhibited by the CCR operator, getting the three sensors 
inhibited."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.61);anp-final-report-fpso-cdsm-accident.pdf;113 The measuring range of the fixed gas detectors is between 0 and 100% of the lower explosive limit.
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.60);anp-final-report-fpso-cdsm-accident.pdf;"Time 
Event 
12:10:21 
First measurement portable gas detector 117 (16% of LIE) one of the victims member 
of the technical team of emergency response during the evaluation of the second 
team."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.58);anp-final-report-fpso-cdsm-accident.pdf;"After the muster 
situation, all three gas detectors located on the bottom of the pumps room were inhibited."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.58);anp-final-report-fpso-cdsm-accident.pdf;"As this detector it was a portable 
detector used by one of the members of the emergency response team, cannot be said that the 
environment gas concentration left the explosive range between detection of 100% LEL and 
another because Such variation may be due to the displacement of the person who carried the 
detector."
Humano;detector coberto/covered detector;detector coberto;covered detector;gas detector offline during activity (0.55);anp-final-report-fpso-cdsm-accident.pdf;"During the descent of the first team to determine the source of the leak, the ported 
portable detectors for firefighters alarmed and indicated the presence of flammable gases."
Humano;não estava usando/covered detector;detector coberto;covered detector;gas detector offline during activity (0.55);anp-final-report-fpso-cdsm-accident.pdf;"At 12:00:42, one of the three detectors of the pumps room was taken from inhibition, 
returning to indicate very high level of gas to 12:01:41, keeping the same statement by the 
time of the explosion."
Humano;detector coberto/not wearing;não estava usando;not wearing;gas detector offline during activity (0.52);anp-final-report-fpso-cdsm-accident.pdf;"By communication difficulties due to the use of self- 
contained breathing apparatus used by the brigade, the commander on the scene got the 
information that there was ""zero gas"" on site."
Humano;falha operacional/covered detector;detector coberto;covered detector;gas detector offline during activity (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Insulation certificate instrumentation and control system referred to the insulation of the five gas 
detectors pump house, in order to facilitate the installation of the spade."
Humano;descumprimento de procedimento/operational failure;falha operacional;operational failure;incomplete job safety analysis (0.56);anp-final-report-fpso-cdsm-accident.pdf;"Operational safety management system rendered in the FPSO Cidade de São 
Mateus 
4.1."
Humano;falha operacional/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;incomplete job safety analysis (0.55);anp-final-report-fpso-cdsm-accident.pdf;"The 2012 audit pointed out ten non-compliances as follows: 
""1- Head of Department did not have access to the Safety Case and its action plan; 
(...) 
7 (..) All procedures related to operations (ie starting equipment, equipment failure, 
system insulation)."
Humano;falha operacional/operational failure;falha operacional;operational failure;incomplete job safety analysis (0.52);anp-final-report-fpso-cdsm-accident.pdf;"Failed in the records and 
documentation 
of 
change 
operating conditions of the system affects every function, before taking the job 
on board."
Humano;descumprimento de procedimento/operational failure;falha operacional;operational failure;supervisory fatigue unaddressed (0.50);anp-final-report-fpso-cdsm-accident.pdf;"Failed in the records and 
documentation 
of 
change 
operating conditions of the system affects every function, before taking the job 
on board."
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;safety checks performed superficially (0.52);anp-final-report-fpso-cdsm-accident.pdf;"Thus, to purify unidentified compliance in internal audit remained 
pending the completion of the migration procedures for the Setup Operator documentation"
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedural compliance variable (0.50);anp-final-report-fpso-cdsm-accident.pdf;"Thus, to purify unidentified compliance in internal audit remained 
pending the completion of the migration procedures for the Setup Operator documentation"
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.59);anp-final-report-fpso-cdsm-accident.pdf;These procedures should be considered as Operating
Humano;não seguiu o procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.56);anp-final-report-fpso-cdsm-accident.pdf;"(ii) There was the definition of critical procedures for the FPSO Cidade de São Mateus, 
due to non-completion of the procedures migration process initiated in 2011."
Humano;descumprimento de procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.56);anp-final-report-fpso-cdsm-accident.pdf;"(ii) There was the definition of critical procedures for the FPSO Cidade de São Mateus, 
due to non-completion of the procedures migration process initiated in 2011."
Humano;não seguiu o procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.55);anp-final-report-fpso-cdsm-accident.pdf;"The process of migration procedures described above was initiated in 2011 and was used 
initially a criterion that if a procedure had not been accessed in the last two years, this would 
be extinguished."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.55);anp-final-report-fpso-cdsm-accident.pdf;"The process of migration procedures described above was initiated in 2011 and was used 
initially a criterion that if a procedure had not been accessed in the last two years, this would 
be extinguished."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.53);anp-final-report-fpso-cdsm-accident.pdf;"1) It was observed that the 
procedure cited in the 
close out fact does not 
establish requirements 
for starting the pump in 
terms 
of 
steam 
provision."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Such a condition was considered analogous to the lack of operating procedure, 
since such a risk control mechanism was not kept by the BW and its use was discouraged by 
the procedure itself."
Humano;descumprimento de procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.51);anp-final-report-fpso-cdsm-accident.pdf;"It can be said therefore that there was no plan and procedures defined for inspection, 
testing and maintenance for the valve in question."
Humano;não seguiu o procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.50);anp-final-report-fpso-cdsm-accident.pdf;"During the operational phase, the commissioning was not completed, the implementation 
of safeguards has not been concluded, recommendations arising from hazard prone analysis 
were not managed and there had been certain outdated and incomplete procedures."
Humano;erro humano/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.50);anp-final-report-fpso-cdsm-accident.pdf;"During the operational phase, the commissioning was not completed, the implementation 
of safeguards has not been concluded, recommendations arising from hazard prone analysis 
were not managed and there had been certain outdated and incomplete procedures."
Humano;erro humano/human error;erro humano;human error;unexpected system behavior observed (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Humano;falha operacional/human error;erro humano;human error;recurrent minor faults (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Humano;falha operacional/operational failure;falha operacional;operational failure;recurrent minor faults (0.53);anp-final-report-fpso-cdsm-accident.pdf;Such failure is considered one of the root
Humano;violação de regra/operational failure;falha operacional;operational failure;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"This is obtained for the report ""Evaluation of failure in the sealing ring of the tank 
valve"" issued in 21/10/201481."
Humano;detector coberto/rule violation;violação de regra;rule violation;safety culture complacency (0.51);anp-final-report-fpso-cdsm-accident.pdf;194 Item 1.2.4 of the document Safety Philosophy – Doc n° I-ET-004 Rev.
